"name","iso_code","string_id"
"English (US)","en","en_US"
"Amharic / አምሃርኛ","am_ET","am_ET"
"Arabic / الْعَرَبيّة","ar","ar_001"
"Arabic (Syria) / الْعَرَبيّة","ar_SY","ar_SY"
"Azerbaijani / Azərbaycanca","az","az_AZ"
"Basque / Euskara","eu_ES","eu_ES"
"Bengali / বাংলা","bn_IN","bn_IN"
"Bosnian / bosanski jezik","bs","bs_BA"
"Bulgarian / български език","bg","bg_BG"
"Catalan / Català","ca_ES","ca_ES"
"Chinese (Simplified) / 简体中文","zh_CN","zh_CN"
"Chinese (HK)","zh_HK","zh_HK"
"Chinese (Traditional) / 繁體中文","zh_TW","zh_TW"
"Croatian / hrvatski jezik","hr","hr_HR"
"Czech / Čeština","cs_CZ","cs_CZ"
"Danish / Dansk","da_DK","da_DK"
"Dutch (BE) / Nederlands (BE)","nl_BE","nl_BE"
"Dutch / Nederlands","nl","nl_NL"
"English (AU)","en_AU","en_AU"
"English (CA)","en_CA","en_CA"
"English (UK)","en_GB","en_GB"
"English (IN)","en_IN","en_IN"
"English (NZ)","en_NZ","en_NZ"
"Estonian / Eesti keel","et","et_EE"
"Finnish / Suomi","fi","fi_FI"
"French (BE) / Français (BE)","fr_BE","fr_BE"
"French (CA) / Français (CA)","fr_CA","fr_CA"
"French (CH) / Français (CH)","fr_CH","fr_CH"
"French / Français","fr","fr_FR"
"Galician / Galego","gl","gl_ES"
"Georgian / ქართული ენა","ka","ka_GE"
"German / Deutsch","de","de_DE"
"German (CH) / Deutsch (CH)","de_CH","de_CH"
"Greek / Ελληνικά","el_GR","el_GR"
"Gujarati / ગુજરાતી","gu","gu_IN"
"Hebrew / עִבְרִי","er","he_IL"
"Hindi / हिंदी","hi","hi_IN"
"Hungarian / Magyar","hu","hu_HU"
"Indonesian / Bahasa Indonesia","id","id_ID"
"Italian / Italiano","it","it_IT"
"Japanese / 日本語","ja","ja_JP"
"Kabyle / Taqbaylit","kab","kab_DZ"
"Khmer / ភាសាខ្មែរ","km","km_KH"
"Korean (KP) / 한국어 (KP)","ko_KP","ko_KP"
"Korean (KR) / 한국어 (KR)","ko_KR","ko_KR"
"Lao / ພາສາລາວ","lo","lo_LA"
"Latvian / latviešu valoda","lv","lv_LV"
"Lithuanian / Lietuvių kalba","lt","lt_LT"
"Luxembourgish","lb","lb_LU"
"Macedonian / македонски јазик","mk","mk_MK"
"Malayalam / മലയാളം","ml","ml_IN"
"Mongolian / монгол","mn","mn_MN"
"Malay / Bahasa Melayu","ms","ms_MY"
"Burmese / ဗမာစာ","my","my_MM"
"Norwegian Bokmål / Norsk bokmål","nb_NO","nb_NO"
"Persian / فارسی","fa","fa_IR"
"Polish / Język polski","pl","pl_PL"
"Portuguese (AO) / Português (AO)","pt_AO","pt_AO"
"Portuguese (BR) / Português (BR)","pt_BR","pt_BR"
"Portuguese / Português","pt","pt_PT"
"Romanian / română","ro","ro_RO"
"Russian / русский язык","ru","ru_RU"
"Serbian (Cyrillic) / српски","sr_RS","sr_RS"
"Serbian (Latin) / srpski","sr@latin","sr@latin"
"Slovak / Slovenský jazyk","sk","sk_SK"
"Slovenian / slovenščina","sl","sl_SI"
"Spanish (Latin America) / Español (América Latina)","es_419","es_419"
"Spanish (AR) / Español (AR)","es_AR","es_AR"
"Spanish (BO) / Español (BO)","es_BO","es_BO"
"Spanish (CL) / Español (CL)","es_CL","es_CL"
"Spanish (CO) / Español (CO)","es_CO","es_CO"
"Spanish (CR) / Español (CR)","es_CR","es_CR"
"Spanish (DO) / Español (DO)","es_DO","es_DO"
"Spanish (EC) / Español (EC)","es_EC","es_EC"
"Spanish (GT) / Español (GT)","es_GT","es_GT"
"Spanish (MX) / Español (MX)","es_MX","es_MX"
"Spanish (PA) / Español (PA)","es_PA","es_PA"
"Spanish (PE) / Español (PE)","es_PE","es_PE"
"Spanish (PY) / Español (PY)","es_PY","es_PY"
"Spanish (UY) / Español (UY)","es_UY","es_UY"
"Spanish (VE) / Español (VE)","es_VE","es_VE"
"Spanish / Español","es","es_ES"
"Swedish / Svenska","sv","sv_SE"
"Thai / ภาษาไทย","th","th_TH"
"Tagalog / Filipino","tl","tl_PH"
"Turkish / Türkçe","tr","tr_TR"
"Ukrainian / українська","uk","uk_UA"
"Vietnamese / Tiếng Việt","vi","vi_VN"
"Albanian / Shqip","sq","sq_AL"
"Telugu / తెలుగు","te","te_IN"
